Title	First Author	Year	Journal	Culture	High-throughput Platform	16S Region for high-throughput	Accession	Secondary Accession	MetadataAvailable	Dryad/FigShare	Notes	Species
Columbia spotted frogs (Rana luteiventris) have characteristic skin microbiota that may be shaped by cutaneous skin peptides and the environment	Loudon	2020	FEMS Microbiology Ecology	Independent	Illumina MiSeq	V4	PRJEB35122	ERP118128	TRUE		Wild	Rana luteiventris
Most of the Dominant Members of Amphibian Skin Bacterial Communities Can Be Readily Cultured	Walke	2015	Applied and Environmental Microbiology	Independent	Illumina MiSeq	V4	PRJNA292303	SRP062395	TRUE		Wild	Rana catesbeiana, Notophthalmus viridescens, Pseudacris crucifer, Anaxyrus americanus 
Skin Bacterial Community Reorganization Following Metamorphosis of the Fire-Bellied Toad (Bombina orientalis)	Bataille	2017	Microbial Ecology	Independent	Illumina MiSeq	V4	PRJNA300407	SRP066198	TRUE		Captive, metamorphosis	Bombina orientalis
Temperature variation, bacterial diversity and fungal infection dynamics in the amphibian skin	Longo	2017	Molecular Ecology	Independent	Illumina MiSeq	V4	PRJNA316224	SRP104695	TRUE	https://doi.org/10.5061/dryad.hc321	Wild	Eleutherodactylus coqui
Amphibian gut microbiota shifts differentially in community structure but converges on habitat-specific predicted functions	Bletz	2016	Nature communications	Independent	Illumina MiSeq	V4	PRJNA320968	SRP074716	TRUE		Wild	Salamandra salamandra
Skin microbiota differs drastically between co-occurring frogs and newts	Bletz	2017	Royal Society Open Science	Independent	Illumina MiSeq	V4	PRJNA320969	SRP074714	TRUE		Wild	Rana dalmatina, Rana temporaria, Ichthyosaura alpestris, Lissotriton helveticus, Lissotriton vulgaris, Triturus cristatus
Composition of the Cutaneous Bacterial Community in Japanese Amphibians: Effects of Captivity, Host Species, and Body Region	Sabino-Pinto	2016	Microbial Ecology	Independent	Illumina MiSeq	V4	PRJNA320971	SRP075048	TRUE		Captive vs Wild	Bombina orientalis, Bufo japonicus, Cynops pyrrhogaster, Echinotriton andersoni, Odorrana splendida, and Rana japonica
Temporal changes in cutaneous bacterial communities of terrestrial- and aquatic-phase newts (Amphibia)	Sabino-Pinto	2017	Environmental Microbiology	Independent	Illumina MiSeq	V4	PRJNA368730	SRP097778	TRUE		Wild	Lissotriton boscai, Triturus marmoratus
Characterization of the Skin Microbiota of the Cane Toad Rhinella cf. marina in Puerto Rico and Costa Rica	Abarca	2018	Frontiers in Microbiology	Independent	Illumina MiSeq	V4	PRJNA391810	SRP110604	TRUE		Wild	Rhinella Marina
Captivity and Infection by the Fungal Pathogen Batrachochytrium salamandrivorans Perturb the Amphibian Skin Microbiome	Bates	2019	Frontiers in Microbiology	Independent	Illumina MiSeq	V4	PRJNA430498	SRP130045	TRUE		Captivity, exposure	Lissotriton vulgaris, Triturus cristatus
Serratia marcescens shapes cutaneous bacterial communities and influences survival of an amphibian host	Madison	2019	Proceedings B	Independent	Illumina MiSeq	V4	PRJNA435631	SRP133360	TRUE		Captive, experiment	Acris blanchardi 
Microbiota and skin defense peptides may facilitate coexistence of two sympatric Andean frog species with a lethal pathogen	Flechas 	2018	ISME	Independent	Illumina MiSeq	V3-V4	PRJNA437103	SRP149982	TRUE		Wild	Dendropsophus labialis, Rheobates palmatus
Genetic variability and ontogeny predict microbiome structure in a disease-challenged montane amphibian	Griffiths	2018	ISME	Independent	Illumina MiSeq	V4	PRJNA439189	SRP136053	TRUE		Wild, life stage	Amietia hymenopus
Disruption of skin microbiota contributes to salamander disease	Bletz	2018	Proceedings B	Independent	Illumina MiSeq	V4	PRJNA477390	SRP151078	TRUE		Captive, Bsal	Salamandra salamandra
The Influence of Habitat and Phylogeny on the Skin Microbiome of Amphibians in Guatemala and Mexico	Ellison	2018	Microbial Ecology	Independent	Illumina MiSeq	V3-V4	PRJNA505069	SRP168824	TRUE		Wild	Bolitoglossa, franklini, Bolitoglossa lincolni, Bolitoglossa xibalba, Pseudoeurycea Mozotal, Plectrohyla hartwegi, Plectrohyla lacertosa, Plectrohyla matudai, Plectrohyla sagorum
Composition of the North American Wood Frog (Rana sylvatica) Bacterial Skin Microbiome and Seasonal Variation in Community Structure	Douglas	2020	Environmental Microbiology	Independent	Illumina MiSeq	V4	PRJNA603391	SRP245448	TRUE		Wild, seasonal	Rana sylvatica
The Behavior of Amphibians Shapes Their Symbiotic Microbiomes	Xu	2020	mSystems	Independent	Illumina MiSeq	V4	PRJNA613575	SRP253593	TRUE		Wild, seasonal, gut	Bufo gargarizans, Fejervarya limnocharis, Pelophylax nigromaculatus, Microhyla fissipes
The amphibian microbiome exhibits poor resilience following pathogen-induced disturbance	Jani	2021	ISME	Independent	Illumina MiSeq	V3-V4	PRJNA664873	SRP284492	TRUE		Captive	Rana muscosa
Skin microbiome correlates with bioclimate and Batrachochytrium dendrobatidis infection intensity in Brazil’s Atlantic Forest treefrogs	Ruthsatz	2020	Scientific Reports	Independent	Illumina MiSeq	V4	PRJNA665482	SRP285287	TRUE		Wild	Varied
Geography, Host Genetics, and Cross-Domain Microbial Networks Structure the Skin Microbiota of Fragmented Brazilian Atlantic Forest Frog Populations	Belasen	2021	Ecology and Evolution	Independent	Illumina MiSeq	V4	PRJNA720436	SRP313910	TRUE		Wild	Thoropa taophora
