Host	nSamples	nStudies	nLocations	nTimepoints
Salamandra salamandra	479	2	15	24
Eleutherodactylus coqui	311	1	6	5
Acris blanchardi	253	1	1	5
Lissotriton boscai	220	1	1	13
Rana muscosa	198	1	1	1
Triturus cristatus	176	2	3	11
Lissotriton vulgaris	167	2	3	10
Dendropsophus elegans	134	1	10	10
Amietia hymenopus	134	1	1	3
Bombina orientalis	96	2	2	6
Dendropsophus minutus	90	1	11	12
Ichthyosaura alpestris	81	1	2	9
Boana faber	67	1	13	14
Rana sylvatica	66	1	1	16
Boana albomarginata	53	1	12	12
Rana luteiventris	52	1	5	5
Triturus marmoratus	50	1	1	10
Rhinella marina	41	1	3	1
Rana temporaria	40	1	2	3
Boana bischoffi	32	1	4	4
Dendropsophus haddadi	30	1	4	4
Fejervarya limnocharis	28	1	1	2
Rana japonica	28	1	1	1
Cynops pyrrhogaster	27	1	2	2
Dendropsophus bipunctatus	26	1	3	3
Boana polytaenia	25	1	2	3
Microhyla fissipes	25	1	1	2
Rheobates palmatus	25	1	1	1
Echinotriton andersoni	22	1	1	1
Aplastodiscus perviridis	21	1	1	1
Bufo gargarizans	21	1	1	2
Odorrana splendida	20	1	1	1
Pseudoeurycea rex	19	1	3	3
Dendropsophus labialis	19	1	1	1
Rana catesbeiana	19	1	1	1
Notophthalmus viridescens	18	1	1	1
Pelophylax nigromaculatus	18	1	1	2
Rana dalmatina	18	1	1	2
Dendropsophus branneri	17	1	6	6
Scinax nebulosus	17	1	2	2
Boana semilineata	16	1	6	6
Anaxyrus americanus	15	1	1	1
Boana atlantica	14	1	1	1
Bufo japonicus	14	1	1	1
Scinax cuspidatus	13	1	3	3
Sphaenorhynchus caramaschii	13	1	1	1
Sphaenorhynchus surdus	12	1	2	2
Aparasphenodon brunoi	12	1	1	1
Pseudacris crucifer	12	1	1	1
Scinax fuscovarius	11	1	4	4
Phyllomedusa distincta	11	1	3	3
Bolitoglossa lincolni	11	1	2	2
Plectrohyla matudai	10	1	2	2
Phyllodytes edelmoi	10	1	1	2
Scinax alter	9	1	2	2
Scinax imbegue	9	1	2	2
Boana albopunctata	9	1	1	1
Phyllodytes gyrinaethes	9	1	1	2
Phyllomedusa tetraploidea 	9	1	1	1
Scinax hayii	9	1	1	3
Dendropsophus werneri	8	1	4	4
Phyllomedusa burmeisteri	8	1	2	2
Dendropsophus nanus	7	1	1	1
Lissotriton helveticus	7	1	1	1
Phyllomedusa rohdei	7	1	1	1
Plectrohyla lacertosa	7	1	1	1
Boana curupi	6	1	1	1
Bolitoglossa franklini	6	1	1	1
Itapotihyla langsdorffii	5	1	2	2
Scinax x-signatus	5	1	2	2
Scinax pachycrus	5	1	1	1
Scinax v-signatus	5	1	1	2
Plectrohyla hartwegi	4	1	1	1
Scinax albicans	4	1	1	3
Scinax fuscomarginatus	4	1	1	1
Scinax strigilatus	4	1	1	1
Dendropsophus oliveirai	3	1	2	2
Pithecopus nordestinus	3	1	2	2
Scinax argyreornatus	3	1	2	2
Boana crepitans	3	1	1	1
Boana prasina	3	1	1	1
Scinax juncae	3	1	1	1
Boana pardalis	2	1	2	2
Bokermannohyla circumdata	2	1	2	2
Craugastor stuarti	2	1	2	2
Scinax perereca	2	1	2	2
Aplastodiscus arildae	2	1	1	1
Dendropsophus berthalutzae	2	1	1	1
Dendropsophus giesleri	2	1	1	1
Hylomantis granulosa	2	1	1	1
Plectrohyla sagorum	2	1	1	1
Scinax heyeri	2	1	1	1
Aplastodiscus eugenioi	1	1	1	1
Boana exastis	1	1	1	1
Bokermannohyla hylax	1	1	1	1
Bolitoglossa franklini lincolni	1	1	1	1
Bolitoglossa xibalba	1	1	1	1
Corythomantis greeningi	1	1	1	1
Dendropsophus microps	1	1	1	1
Dendrotriton rabbi	1	1	1	1
Incilius tacanensis	1	1	1	1
Phyllomedusa bahiana	1	1	1	1
Scinax cretatus	1	1	1	1
Scinax eurydice	1	1	1	1
Scinax flavoguttatus	1	1	1	1
Scinax tymbamirim	1	1	1	1
